1538367600;m;8.7;16.0
1538368200;m;8.8;15.9
1538368700;m;8.3;15.9
1538368800;m;8.3;15.9
1538369400;m;8.0;15.9
1538369900;m;7.9;15.8
1538370000;m;7.9;15.8
1538370600;m;8.4;15.8
1538371200;m;8.4;15.9
1538371800;m;8.1;15.8
1538372300;m;7.9;15.7
1538372400;m;7.9;15.7
1538372900;m;7.4;15.6
1538373000;m;7.4;15.6
1538373600;m;7.3;15.5
1538374200;m;7.8;15.4
1538374800;m;8.0;15.4
1538375400;m;8.0;15.4
1538376000;m;8.7;15.5
1538376500;m;9.2;15.4
1538376600;m;9.2;15.4
1538377200;m;9.3;15.4
1538377700;m;9.3;15.4
1538377800;m;9.3;15.4
1538378400;m;9.5;15.4
1538379000;m;10.3;15.4
1538379500;m;10.0;15.4
1538379600;m;10.0;15.4
1538380200;m;10.1;15.5
1538380800;m;10.2;15.6
1538381400;m;10.5;15.6
1538382000;m;11.0;15.7
1538382600;m;11.5;15.7
1538383200;m;10.5;15.8
1538383800;m;9.9;16.0
1538384400;m;9.9;15.9
1538387400;m;11.0;17.0
1538388000;m;11.0;17.3
